120.52,-171.07
123.37,-173.73
122.61,104.93
117.36,159.27
128.59,-110.16
117.63,115.19
120.48,157.27
115.77,-102.83
111.22,-149.40
109.92,89.85
104.82,148.20
100.61,156.99
96.81,-105.10
97.72,-145.02
94.13,-172.72
90.49,-103.86
93.55,-161.67
96.75,78.75
91.70,-60.82
78.43,-25.75
71.33,-4.04
55.68,-6.75
33.92,-1.56
19.47,-2.58
7.38,-4.90
0.57,-3.72
-1.88,-1.56
1.84,-0.86
-6.03,6.08
8.27,-4.08
5.51,-1.19
6.63,-2.51
7.14,0.40
9.31,1.40
7.72,-0.64
3.43,0.20
-0.74,1.84
-3.17,-2.06
-3.11,-0.79
3.26,-2.40
5.51,-1.79
4.42,-3.30
1.38,-2.49
1.71,-0.30
1.29,-1.27
0.94,-3.56
-11.76,-5.41
-4.79,-4.64
-1.18,-4.65
2.81,-6.10
2.08,-5.30
4.87,-4.69
1.98,-4.13
3.76,-4.72
1.40,-5.54
-1.65,-8.48
0.96,-12.08
-0.68,-13.00
2.01,-13.82
9.68,-13.68
28.16,-16.89
30.46,-15.89
33.47,-15.96
36.17,-15.87
36.75,-15.52
37.28,-15.72
41.08,-15.88
47.72,-15.96
53.96,-16.44
58.52,-16.08
61.53,-17.59
65.70,-20.56
67.59,-23.22
69.76,-24.35
72.27,-26.24
74.21,-26.25
75.36,-25.94
77.60,-27.20
81.01,-36.78
84.51,-51.01
88.44,-77.20
91.08,-104.71
92.39,-119.11
92.61,-118.92
93.14,-127.01
93.25,-127.76
94.21,-137.24
94.24,-135.22
94.38,-138.61
94.68,-141.70
94.71,-142.70
94.87,-147.31
94.78,-143.39
94.09,-134.49
94.54,-138.15
94.75,-144.20
94.63,-143.72
95.17,-146.49
94.77,-143.02
95.13,-147.50
94.92,-146.55
94.98,-145.32
94.79,-143.50
94.30,-139.88
94.44,-142.77
94.44,-141.91
94.36,-141.72
93.99,-138.85
92.74,-121.36
90.62,-96.90
89.82,-88.51
90.05,-90.56
90.62,-96.15
90.35,-93.50
90.68,-97.36
90.44,-94.54
90.54,-95.78
91.37,-106.79
91.98,-115.14
92.56,-121.89
93.02,-129.71
93.22,-130.61
92.90,-126.73
92.42,-120.57
91.96,-114.08
91.30,-105.14
90.95,-100.51
90.73,-98.27
90.46,-94.99
90.46,-94.88
90.19,-92.07
90.47,-95.21
90.88,-100.19
90.91,-100.73
91.31,-106.48
91.82,-113.11
92.69,-126.09
92.99,-129.59
93.33,-135.34
93.59,-140.24
94.28,-148.48
94.29,-147.61
94.43,-150.14
94.34,-148.48
94.51,-150.72
94.30,-147.27
94.33,-147.58
94.28,-149.71
93.85,-149.75
92.93,-138.71
92.57,-127.35
92.46,-122.88
92.35,-121.59
92.01,-117.02
91.11,-104.14
91.21,-106.88
91.03,-104.02
91.02,-104.92
91.07,-105.14
90.78,-100.83
91.08,-105.66
91.08,-105.94
89.41,-80.68
85.93,-49.78
80.24,-26.04
72.39,-16.11
62.49,-10.40
55.49,-9.02
42.36,-7.51
32.69,-8.79
31.61,-9.24
19.43,-10.35
14.72,-9.96
8.27,-10.39
5.31,-10.60
0.07,-9.94
-2.32,-9.56
-1.53,-9.81
-1.44,-9.10
0.80,-9.68
-0.29,-10.30
0.09,-10.43
1.13,-10.39
1.94,-10.39
1.33,-10.56
0.23,-10.88
-1.29,-10.84
-1.38,-9.98
-2.85,-8.83
0.66,-8.75
2.13,-9.08
2.68,-9.09
-1.06,-9.74
-1.15,-8.12
0.02,-8.87
-3.09,-7.99
-1.02,-8.70
-2.02,-9.37
-1.66,-9.26
-2.39,-9.28
-2.38,-9.41
-2.23,-9.52
-2.44,-9.25
-1.83,-9.43
-1.48,-9.52
-1.57,-9.67
-1.76,-9.42
-1.65,-9.52
-1.29,-9.53
-1.54,-9.48
-1.63,-9.39
-1.69,-9.54
-1.60,-9.66
-1.34,-9.39
-1.77,-9.67
-1.90,-9.61
-1.58,-9.60
-1.60,-9.48
-1.83,-9.58
-1.81,-9.66
-1.80,-9.56
-1.72,-9.66
-1.47,-10.14
-1.24,-9.06
-0.20,-9.38
-1.35,-9.81
-1.44,-9.97
-3.67,-10.56
-10.42,-8.96
-3.75,-8.59
-3.00,-10.04
1.45,-9.25
0.29,-9.20
1.68,-9.92
3.18,-9.23
5.69,-8.55
2.88,-10.18
2.10,-10.23
0.28,-10.90
-1.93,-10.98
-3.73,-9.97
-5.24,-9.83
-5.02,-9.14
-5.62,-8.86
-6.62,-9.90
-7.49,-9.56
-4.60,-8.63
-3.54,-10.27
-7.45,-11.14
-10.88,-12.09
-12.33,-12.92
-12.77,-14.04
-6.25,-7.80
7.31,-7.25
3.81,-7.93
